"[Rango de fechas]: 2026-05-01 ~ 2026-05-31
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre del creador,ID del Creador,Información del video,ID del video,Hora,Productos,VV,Me gusta,Comentarios,Compartidos,Seguidores nuevos,Clics de video a transmisión en vivo,Impresiones de productos,Clics de productos,Clientes únicos,Pedidos con SKU atribuidos,Pedidos con SKU de videos,Pedidos con SKU indirectos de videos,Ventas de artículos atribuidas a videos,Artículos de video vendidos,Artículos vendidos indirectamente desde videos,GMV atribuido al video (MX$),GMV de videos (MX$),GMV indirecto de video (MX$),GPM (MX$),Tasa de clics (video),Tasa de video a transmisión,Tasa de finalización de videos,CTOR (pedido con SKU),Diagnóstico
goyostoremx,7241715178701194245,"Parisian: doble vista, cómodo y fácil de vender. ✨ Un chaleco para dama que funciona muy bien en temporada porque combina con todo  se siente cómodo y con detalles que lo hacen lucir espectacular, como el cierre con brillos y las bolsas con cierre. Disponible en tallas CH a XL. Caja con 30  piezas 📦 #chalecos #mayoreo #ventaporcaja #ropamujer #mexico",7639160535996468500,2026/05/12 18:04:31,Chaleco Reversible Mujer Mayoreo Doble Vista Nylon con Bolsillos y Cierres(1735509189832574666),2735,51,2,7,4,0,2437,52,,0,0,0,0,0,0,0,0,0,0,1.90%,0.00%,5.89%,0.00%,No issues
goyostoremx,7241715178701194245,"Para esos días en los que el clima cambia de un momento a otro. 🌦️ Esta rompevientos para dama es ligera, práctica y fácil de llevar, ideal para tener una opción cómoda sin cargar de más. Viene con forro de red, gorro desmontable, ajustadores en gorro y cintura, elástico en puños y bolsas con cierre. Disponible en rojo, rosa, negro, azul rey y beige, desde $125. 📦 #rompevientos #mayoreo #ventaporcaja #ropamujer #mexico",7638010127412415765,2026/05/09 15:40:27,Chamarra Rompevientos Mujer Mayoreo Ultra Ligera con Gorro y Bolsillos con Cierre(1735509115224753866),3305,71,4,5,11,0,3299,101,,0,0,0,0,0,0,0,0,0,0,3.06%,0.00%,7.69%,0.00%,No issues
goyostoremx,7241715178701194245,"Pola es de esos chalecos que llaman la atención desde que los ves. 🛍️ Largo, con forro de peluche y gorro desmontable, perfecto para quienes buscan una prenda abrigadora  Viene en colores clave para temporada: negro, rojo, blanco, marino y rosa. Disponible de la CH a la 2XL, en caja de 25 piezas desde $280. 📦 #ropa #ventamayoreo #ventaporcaja #dondeir #mexico",7636593174621834517,2026/05/05 20:02:02,Chaleco Largo Mujer 3/4 Mayoreo “Pola” con Peluche y Gorro Desmontable(1735443868584347338),2269,35,0,0,5,0,2166,33,,0,0,0,0,0,0,0,0,0,0,1.45%,0.00%,8.51%,0.00%,No issues
goyostoremx,7241715178701194245,"Este modelo tiene todo para destacar en temporada. Una gabardina para dama con silueta elegante, cinturón, gorro desmontable y el plus del forro de peluche para darle más valor a la prenda. Se maneja en versión impermeable y permeable, con una gama de colores clásicos y tallas que van desde regulares hasta 4XL. #gabardinas #ropamujer #ventaporcaja #mayoreo #cdmx",7635433101757336852,2026/05/02 17:00:14,Gabardina Mujer Mayoreo 36 Pzs 3/4 con Cinturón y Gorro Desmontable(1734969057038796490),8534,196,7,49,38,0,8173,113,,0,0,0,0,0,0,0,0,0,0,1.32%,0.00%,8.48%,0.00%,No issues
goyostoremx,7241715178701194245,"Un chaleco largo para dama que le da color y ligereza a la temporada ✨ Hecho en nylon ligero, con gorro desmontable y forro estampado de rayas que le suma un detalle diferente. Disponible de la CH a la XL en tonos como azul turquesa, verde menta, fiusha y rosa. #ropadama #ropamayoreo #dondecomprar #cdmx #primavera",7634599754302934293,2026/04/30 11:06:21,Chaleco Largo Mujer Mayoreo 30 Pzs Acolchado 3/4 con Gorro Desmontable(1734968947177260746),1338,23,0,4,3,0,1298,13,,0,0,0,0,0,0,0,0,0,0,0.97%,0.00%,6.13%,0.00%,No issues
goyostoremx,7241715178701194245,"Un chaleco que cambia por completo con solo darle la vuelta 🧥 Balocco mezcla una vista más limpia en nylon con otra en franela de cuadros, ideal para darle variedad al surtido. Con gorro fijo, cubre cierre con botones y tallas de la CH a la XL. Disponible en vino, negro, camel, beige y verde. #chalecos #ropahombre #ventamayoreo #mayoreo #cdmx ",7633631584754715925,2026/04/27 20:29:28,Chaleco Reversible Caballero Mayoreo 36 Pzs Doble Vista Casual con Gorro y Bolsas(1734968901269882570),2412,55,0,6,11,0,2530,34,,0,0,0,0,0,0,0,0,0,0,1.41%,0.00%,7.34%,0.00%,No issues
goyostoremx,7241715178701194245,"Vinipiel + peluche + liquidación. Este chaleco para dama está pensado para quienes buscan algo más atrevido, pero fácil de combinar. Con bolsas con cierre, opción con cinturón o sin cinturón, en negro, camel y chocolate. Disponible en tallas CH a 2XL y en paquete de 16 piezas. #chalecos #preciosbajos #mayoreo #ventaporcaja #ropamujer",7632809778863017236,2026/04/25 15:20:23,Chaleco Vinipiel Mujer Mayoreo 16 Pzs Casual Elegante con Cinturón y Peluche(1734968662395619018),656,14,2,2,2,0,656,4,,0,0,0,0,0,0,0,0,0,0,0.61%,0.00%,6.55%,0.00%,No issues
goyostoremx,7241715178701194245,"El chaleco Yimai es de esos modelos que te dan mas ingresos con menos inversión ✨ Es doble vista, un lado liso y el otro con un estampado floral. Ideal para vender dos prendas al precio de una. Con gorro fijo, cierre en bolsas y tallas de la CH a la 2XL. Disponible en caja de 60 piezas a solo $100. #ventamayoreo #ropa #chalecos #ropamujer #ventaporcaja",7632211988277382421,2026/04/24 00:40:36,Chaleco Reversible Mujer Mayoreo 60 Pzs 2 en 1 Casual con Gorro y Bolsillos(1734968579420423882),3409,57,1,30,12,0,3171,22,,0,0,0,0,0,0,0,0,0,0,0.65%,0.00%,7.22%,0.00%,No issues
goyostoremx,7241715178701194245,"Conjunto de pants para dama desde $85 ✨ Sudadera y pantalón en tela de felpa, cómodos, calientitos y perfectos para el día a día. Se manejan en paca de 108 piezas o paquetes de 36 📦 Una opción buena  y fácil de vender  #pants #ropamujer #ropamayoreo #dondecomprar #dondeir ",7631686797151620373,2026/04/22 14:42:39,Conjunto Pants Mujer Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro(1734968544421250762),1197,12,1,3,2,0,1319,18,,0,0,0,0,0,0,0,0,0,0,1.50%,0.00%,9.94%,0.00%,No issues
goyostoremx,7241715178701194245,"Conjuntos para niña desde $75 ✨ Pantalón con sudadera en tela de felpa, cómodos y perfectos para la temporada. Disponibles en tallas de la 6 a la 16, con variedad de colores y estampados para darle más movimiento a tu tienda. #ropaniñas #temporada #ropa #dondecomprar #ventamayoreo",7630653628281261332,2026/04/19 19:53:25,Conjunto Pants Niña Mayoreo 36 Pzs Outfit 2 Piezas Casual con Gorro(1734968521563932362),4674,179,0,41,84,0,4618,27,,0,0,0,0,0,0,0,0,0,0,0.58%,0.00%,8.96%,0.00%,No issues
goyostoremx,7241715178701194245,"Chamarra básica para dama ideal para surtir tu tienda esta temporada ✨ Con forro de peluche, cierre en las bolsas y resorte a los costados para un mejor ajuste. Disponible en tallas de la CH a la XL, con opción con gorro o sin gorro. Se maneja en paca de 90 o 120 piezas 📦 #chamarras #ropamujer #dondecomprar #mayoreo #ventaporcaja",7629520628508396821,2026/04/16 18:36:49,Chamarra Mujer Mayoreo 30 Pzs Entallada con Peluche y Bolsillos con Cierre(1734968380044117706),5473,137,0,18,44,0,5370,32,,0,0,0,0,0,0,0,0,0,0,0.58%,0.00%,15.00%,0.00%,No issues
goyostoremx,7241715178701194245,"Rompevientos para caballero desde $175 🌦️ Chamarras ligeras, prácticas y perfectas para estos climas cambiantes. Tallas de la CH a la 2XL, en colores como verde militar, rojo, gris, negro y marino. Disponibles en caja de 48 o 30 piezas 📦 Una opción funcional que se venden fácil en temporada. #ropa #ventamayoreo #ventaporcaja #dondeir #mexico",7626913836028677394,2026/04/09 18:01:07,Rompevientos Hombre Mayoreo 24 Pzs Chamarra Ligera Deportiva con Gorro Ajustable(1734967370483074762),2236,19,0,7,2,0,3249,43,,0,0,0,0,0,0,0,0,0,0,1.92%,0.00%,6.71%,0.00%,No issues
goyostoremx,7241715178701194245,"Una chamarra de gamuza para caballero que se adapta a cualquier ocasión ✨ Funciona tanto para un look formal como casual, con colores en tendencia como chocolate, camel, beige y negro. Disponible en tallas de la CH a la 2XL y en caja de 20 piezas 📦 Ideal para surtir tu tienda con un modelo versátil y de buena rotación. #tienda #mayoreo #ropa #mujer #ventaporcaja",7625802738080795924,2026/04/06 18:09:28,Chaqueta Gamuza Hombre Mayoreo 20 Pzs Forro Peluche Estilo Casual Elegante(1734960702840211146),1036,20,0,4,9,0,1084,15,,0,0,0,0,0,0,0,0,0,0,1.45%,0.00%,7.14%,0.00%,No issues
