"[Rango de fechas]: 2026-05-01 ~ 2026-05-31
",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hora,GMV atribuido al video (MX$),GMV de videos (MX$),GMV indirecto de video (MX$),VV,GPM (MX$),Pedidos con SKU atribuidos,Pedidos con SKU de videos,Pedidos con SKU indirectos de videos,Clientes diarios prom.,Espectadores de productos de videos,Impresiones de productos,Clics de productos,Tasa de clics (video),CTOR (pedido con SKU)
2026-05-01,0,0,0,1174,0,0,0,0,0,851,1170,7,0.0060,0.0000
2026-05-02,0,0,0,3614,0,0,0,0,0,2853,3418,43,0.0126,0.0000
2026-05-03,0,0,0,1950,0,0,0,0,0,1530,1888,18,0.0095,0.0000
2026-05-04,0,0,0,1208,0,0,0,0,0,892,1177,9,0.0076,0.0000
2026-05-05,0,0,0,1820,0,0,0,0,0,1310,1784,24,0.0135,0.0000
2026-05-06,0,0,0,1426,0,0,0,0,0,1017,1412,14,0.0099,0.0000
2026-05-07,0,0,0,945,0,0,0,0,0,658,925,11,0.0119,0.0000
2026-05-08,0,0,0,807,0,0,0,0,0,563,782,7,0.0090,0.0000
2026-05-09,0,0,0,1874,0,0,0,0,0,1370,1830,30,0.0164,0.0000
2026-05-10,0,0,0,1844,0,0,0,0,0,1522,1851,39,0.0211,0.0000
2026-05-11,0,0,0,1707,0,0,0,0,0,1262,1720,22,0.0128,0.0000
2026-05-12,0,0,0,2213,0,0,0,0,0,1533,2123,26,0.0122,0.0000
2026-05-13,0,0,0,1994,0,0,0,0,0,1504,1973,23,0.0117,0.0000
2026-05-14,0,0,0,1080,0,0,0,0,0,807,1109,20,0.0180,0.0000
2026-05-15,0,0,0,4421,0,0,0,0,0,3380,4172,37,0.0089,0.0000
2026-05-16,0,0,0,3475,0,0,0,0,0,2575,3265,41,0.0126,0.0000
2026-05-17,0,0,0,1640,0,0,0,0,0,1210,1623,21,0.0129,0.0000
2026-05-18,0,0,0,1413,0,0,0,0,0,941,1411,33,0.0234,0.0000
2026-05-19,0,0,0,2361,0,0,0,0,0,1714,2355,36,0.0153,0.0000
2026-05-20,0,0,0,1644,0,0,0,0,0,1223,1630,23,0.0141,0.0000
2026-05-21,0,0,0,1190,0,0,0,0,0,956,1213,28,0.0231,0.0000
2026-05-22,0,0,0,2254,0,0,0,0,0,1331,2024,32,0.0158,0.0000
2026-05-23,0,0,0,2337,0,0,0,0,0,1824,2308,29,0.0126,0.0000
2026-05-24,0,0,0,2048,0,0,0,0,0,1649,2122,66,0.0311,0.0000
2026-05-25,0,0,0,1055,0,0,0,0,0,770,1155,14,0.0121,0.0000
2026-05-26,0,0,0,1767,0,0,0,0,0,1046,1441,35,0.0243,0.0000
2026-05-27,0,0,0,2051,0,0,0,0,0,1531,2073,56,0.0270,0.0000
2026-05-28,0,0,0,1770,0,0,0,0,0,1334,1826,42,0.0230,0.0000
2026-05-29,0,0,0,1135,0,0,0,0,0,864,1203,38,0.0316,0.0000
2026-05-30,0,0,0,1497,0,0,0,0,0,1186,1486,32,0.0215,0.0000
2026-05-31,0,0,0,1381,0,0,0,0,0,969,1370,31,0.0226,0.0000
